in s,C3 in V
-1.0855808E-03,-1.66016E-02
-1.0855616E-03,-6.83594E-03
-1.0855424E-03,1.26953E-02
-1.0855232E-03,-6.83594E-03
-1.0855040E-03,1.26953E-02
-1.0854848E-03,2.92969E-03
-1.0854656E-03,-2.63672E-02
-1.0854464E-03,-6.83594E-03
-1.0854272E-03,-6.83594E-03
-1.0854080E-03,2.24609E-02
-1.0853888E-03,-3.61328E-02
-1.0853696E-03,-6.83594E-03
-1.0853504E-03,-6.83594E-03
-1.0853312E-03,4.19922E-02
-1.0853120E-03,-6.83594E-03
-1.0852928E-03,-6.83594E-03
-1.0852736E-03,-6.83594E-03
-1.0852544E-03,1.26953E-02
-1.0852352E-03,-6.83594E-03
-1.0852160E-03,-1.66016E-02
-1.0851968E-03,3.22266E-02
-1.0851776E-03,-6.83594E-03
-1.0851584E-03,-6.83594E-03
-1.0851392E-03,-6.83594E-03
-1.0851200E-03,2.92969E-03
-1.0851008E-03,-6.83594E-03
-1.0850816E-03,1.26953E-02
-1.0850624E-03,2.24609E-02
-1.0850432E-03,2.92969E-03
-1.0850240E-03,2.92969E-03
-1.0850048E-03,-1.66016E-02
-1.0849856E-03,2.92969E-03
-1.0849664E-03,-6.83594E-03
-1.0849472E-03,-1.66016E-02
-1.0849280E-03,-6.83594E-03
-1.0849088E-03,-6.83594E-03
-1.0848896E-03,2.92969E-03
-1.0848704E-03,-6.83594E-03
-1.0848512E-03,1.26953E-02
-1.0848320E-03,2.24609E-02
-1.0848128E-03,2.92969E-03
-1.0847936E-03,-6.83594E-03
-1.0847744E-03,-6.83594E-03
-1.0847552E-03,3.22266E-02
-1.0847360E-03,3.22266E-02
-1.0847168E-03,-1.66016E-02
-1.0846976E-03,2.92969E-03
-1.0846784E-03,-6.83594E-03
-1.0846592E-03,-6.83594E-03
-1.0846400E-03,-6.83594E-03
-1.0846208E-03,1.26953E-02
-1.0846016E-03,-1.66016E-02
-1.0845824E-03,2.92969E-03
-1.0845632E-03,2.92969E-03
-1.0845440E-03,1.26953E-02
-1.0845248E-03,1.26953E-02
-1.0845056E-03,-6.83594E-03
-1.0844864E-03,2.24609E-02
-1.0844672E-03,-6.83594E-03
-1.0844480E-03,2.24609E-02
-1.0844288E-03,3.22266E-02
-1.0844096E-03,-6.83594E-03
-1.0843904E-03,2.92969E-03
-1.0843712E-03,-2.63672E-02
-1.0843520E-03,-6.83594E-03
-1.0843328E-03,-6.83594E-03
-1.0843136E-03,1.26953E-02
-1.0842944E-03,-6.83594E-03
-1.0842752E-03,2.92969E-03
-1.0842560E-03,-6.83594E-03
-1.0842368E-03,2.92969E-03
-1.0842176E-03,2.92969E-03
-1.0841984E-03,3.22266E-02
-1.0841792E-03,2.92969E-03
-1.0841600E-03,3.22266E-02
-1.0841408E-03,-3.61328E-02
-1.0841216E-03,-6.83594E-03
-1.0841024E-03,-6.83594E-03
-1.0840832E-03,1.26953E-02
-1.0840640E-03,2.24609E-02
-1.0840448E-03,-6.83594E-03
-1.0840256E-03,-6.83594E-03
-1.0840064E-03,2.92969E-03
-1.0839872E-03,2.24609E-02
-1.0839680E-03,-1.66016E-02
-1.0839488E-03,-2.63672E-02
-1.0839296E-03,2.92969E-03
-1.0839104E-03,2.92969E-03
-1.0838912E-03,-6.83594E-03
-1.0838720E-03,2.92969E-03
-1.0838528E-03,-2.63672E-02
-1.0838336E-03,-2.63672E-02
-1.0838144E-03,2.92969E-03
-1.0837952E-03,2.24609E-02
-1.0837760E-03,-2.63672E-02
-1.0837568E-03,1.26953E-02
-1.0837376E-03,3.22266E-02
-1.0837184E-03,-6.83594E-03
-1.0836992E-03,1.26953E-02
-1.0836800E-03,-6.83594E-03
-1.0836608E-03,-6.83594E-03
-1.0836416E-03,-6.83594E-03
-1.0836224E-03,-2.63672E-02
-1.0836032E-03,1.26953E-02
-1.0835840E-03,2.24609E-02
-1.0835648E-03,-6.83594E-03
-1.0835456E-03,1.26953E-02
-1.0835264E-03,1.26953E-02
-1.0835072E-03,-2.63672E-02
-1.0834880E-03,-1.66016E-02
-1.0834688E-03,-6.83594E-03
-1.0834496E-03,-1.66016E-02
-1.0834304E-03,1.26953E-02
-1.0834112E-03,1.26953E-02
-1.0833920E-03,-2.63672E-02
-1.0833728E-03,2.24609E-02
-1.0833536E-03,-1.66016E-02
-1.0833344E-03,-6.83594E-03
-1.0833152E-03,2.92969E-03
-1.0832960E-03,-6.83594E-03
-1.0832768E-03,-6.83594E-03
-1.0832576E-03,-6.83594E-03
-1.0832384E-03,-2.63672E-02
-1.0832192E-03,-3.61328E-02
-1.0832000E-03,-1.66016E-02
-1.0831808E-03,2.24609E-02
-1.0831616E-03,1.26953E-02
-1.0831424E-03,-6.83594E-03
-1.0831232E-03,-6.83594E-03
-1.0831040E-03,-6.83594E-03
-1.0830848E-03,-6.83594E-03
-1.0830656E-03,-6.83594E-03
-1.0830464E-03,-6.83594E-03
-1.0830272E-03,2.24609E-02
-1.0830080E-03,2.92969E-03
-1.0829888E-03,3.22266E-02
-1.0829696E-03,-6.83594E-03
-1.0829504E-03,-2.63672E-02
-1.0829312E-03,1.26953E-02
-1.0829120E-03,2.92969E-03
-1.0828928E-03,-6.83594E-03
-1.0828736E-03,3.22266E-02
-1.0828544E-03,-6.83594E-03
-1.0828352E-03,-6.83594E-03
-1.0828160E-03,2.92969E-03
-1.0827968E-03,-6.83594E-03
-1.0827776E-03,-6.83594E-03
-1.0827584E-03,2.24609E-02
-1.0827392E-03,-6.83594E-03
-1.0827200E-03,-2.63672E-02
-1.0827008E-03,2.24609E-02
-1.0826816E-03,1.26953E-02
-1.0826624E-03,-6.83594E-03
-1.0826432E-03,5.17578E-02
-1.0826240E-03,-6.83594E-03
-1.0826048E-03,1.26953E-02
-1.0825856E-03,-6.83594E-03
-1.0825664E-03,1.26953E-02
-1.0825472E-03,-2.63672E-02
-1.0825280E-03,-6.83594E-03
-1.0825088E-03,2.92969E-03
-1.0824896E-03,-6.83594E-03
-1.0824704E-03,2.24609E-02
-1.0824512E-03,2.24609E-02
-1.0824320E-03,3.22266E-02
-1.0824128E-03,2.24609E-02
-1.0823936E-03,1.26953E-02
-1.0823744E-03,-6.83594E-03
-1.0823552E-03,-1.66016E-02
