in s,C1 in V
-4.877792E-04,1.41602E-01
-4.877696E-04,1.12305E-01
-4.877600E-04,1.31836E-01
-4.877504E-04,1.02539E-01
-4.877408E-04,7.32422E-02
-4.877312E-04,1.02539E-01
-4.877216E-04,1.02539E-01
-4.877120E-04,1.22070E-01
-4.877024E-04,1.12305E-01
-4.876928E-04,1.02539E-01
-4.876832E-04,1.12305E-01
-4.876736E-04,1.22070E-01
-4.876640E-04,1.12305E-01
-4.876544E-04,1.02539E-01
-4.876448E-04,1.02539E-01
-4.876352E-04,1.31836E-01
-4.876256E-04,1.22070E-01
-4.876160E-04,1.31836E-01
-4.876064E-04,1.02539E-01
-4.875968E-04,1.12305E-01
-4.875872E-04,1.12305E-01
-4.875776E-04,8.30078E-02
-4.875680E-04,8.30078E-02
-4.875584E-04,1.12305E-01
-4.875488E-04,9.27734E-02
-4.875392E-04,1.12305E-01
-4.875296E-04,1.02539E-01
-4.875200E-04,1.41602E-01
-4.875104E-04,1.41602E-01
-4.875008E-04,8.30078E-02
-4.874912E-04,1.41602E-01
-4.874816E-04,1.12305E-01
-4.874720E-04,1.02539E-01
-4.874624E-04,1.12305E-01
-4.874528E-04,9.27734E-02
-4.874432E-04,1.12305E-01
-4.874336E-04,8.30078E-02
-4.874240E-04,1.22070E-01
-4.874144E-04,1.02539E-01
-4.874048E-04,9.27734E-02
-4.873952E-04,8.30078E-02
-4.873856E-04,1.02539E-01
-4.873760E-04,1.31836E-01
-4.873664E-04,1.12305E-01
-4.873568E-04,1.12305E-01
-4.873472E-04,8.30078E-02
-4.873376E-04,9.27734E-02
-4.873280E-04,1.12305E-01
-4.873184E-04,1.22070E-01
-4.873088E-04,1.12305E-01
-4.872992E-04,1.31836E-01
-4.872896E-04,1.31836E-01
-4.872800E-04,1.22070E-01
-4.872704E-04,1.31836E-01
-4.872608E-04,1.12305E-01
-4.872512E-04,1.12305E-01
-4.872416E-04,1.02539E-01
-4.872320E-04,1.12305E-01
-4.872224E-04,1.02539E-01
-4.872128E-04,1.12305E-01
-4.872032E-04,1.22070E-01
-4.871936E-04,1.12305E-01
-4.871840E-04,8.30078E-02
-4.871744E-04,1.12305E-01
-4.871648E-04,1.31836E-01
-4.871552E-04,1.12305E-01
-4.871456E-04,1.22070E-01
-4.871360E-04,1.12305E-01
-4.871264E-04,1.12305E-01
-4.871168E-04,1.31836E-01
-4.871072E-04,9.27734E-02
-4.870976E-04,1.02539E-01
-4.870880E-04,1.12305E-01
-4.870784E-04,1.12305E-01
-4.870688E-04,1.02539E-01
-4.870592E-04,1.02539E-01
-4.870496E-04,1.12305E-01
-4.870400E-04,1.12305E-01
-4.870304E-04,1.31836E-01
-4.870208E-04,1.12305E-01
-4.870112E-04,1.41602E-01
-4.870016E-04,1.12305E-01
-4.869920E-04,1.02539E-01
-4.869824E-04,1.22070E-01
-4.869728E-04,1.41602E-01
-4.869632E-04,1.31836E-01
-4.869536E-04,1.22070E-01
-4.869440E-04,1.31836E-01
-4.869344E-04,9.27734E-02
-4.869248E-04,1.41602E-01
-4.869152E-04,1.22070E-01
-4.869056E-04,1.12305E-01
-4.868960E-04,9.27734E-02
-4.868864E-04,1.12305E-01
-4.868768E-04,1.31836E-01
-4.868672E-04,1.22070E-01
-4.868576E-04,1.12305E-01
-4.868480E-04,1.12305E-01
-4.868384E-04,1.12305E-01
-4.868288E-04,1.22070E-01
-4.868192E-04,9.27734E-02
-4.868096E-04,1.22070E-01
-4.868000E-04,1.41602E-01
-4.867904E-04,1.22070E-01
-4.867808E-04,1.22070E-01
-4.867712E-04,1.41602E-01
-4.867616E-04,1.12305E-01
-4.867520E-04,1.61133E-01
-4.867424E-04,1.02539E-01
-4.867328E-04,1.31836E-01
-4.867232E-04,8.30078E-02
-4.867136E-04,1.22070E-01
-4.867040E-04,1.22070E-01
-4.866944E-04,1.22070E-01
-4.866848E-04,1.02539E-01
-4.866752E-04,1.02539E-01
-4.866656E-04,1.22070E-01
-4.866560E-04,1.22070E-01
-4.866464E-04,1.22070E-01
-4.866368E-04,1.61133E-01
-4.866272E-04,1.22070E-01
-4.866176E-04,1.22070E-01
-4.866080E-04,1.51367E-01
-4.865984E-04,1.41602E-01
-4.865888E-04,1.31836E-01
-4.865792E-04,1.12305E-01
-4.865696E-04,1.41602E-01
-4.865600E-04,1.12305E-01
-4.865504E-04,1.22070E-01
-4.865408E-04,1.51367E-01
-4.865312E-04,1.22070E-01
-4.865216E-04,1.12305E-01
-4.865120E-04,1.22070E-01
-4.865024E-04,8.30078E-02
-4.864928E-04,1.51367E-01
-4.864832E-04,1.31836E-01
-4.864736E-04,1.12305E-01
-4.864640E-04,8.30078E-02
-4.864544E-04,1.02539E-01
-4.864448E-04,1.12305E-01
-4.864352E-04,1.22070E-01
-4.864256E-04,1.12305E-01
-4.864160E-04,1.41602E-01
-4.864064E-04,1.41602E-01
-4.863968E-04,1.22070E-01
-4.863872E-04,1.22070E-01
-4.863776E-04,1.12305E-01
-4.863680E-04,8.30078E-02
-4.863584E-04,1.02539E-01
-4.863488E-04,1.12305E-01
-4.863392E-04,9.27734E-02
-4.863296E-04,1.41602E-01
-4.863200E-04,1.12305E-01
-4.863104E-04,1.51367E-01
-4.863008E-04,1.12305E-01
-4.862912E-04,1.12305E-01
-4.862816E-04,1.02539E-01
-4.862720E-04,1.41602E-01
-4.862624E-04,1.31836E-01
-4.862528E-04,1.31836E-01
-4.862432E-04,1.51367E-01
-4.862336E-04,1.22070E-01
-4.862240E-04,1.41602E-01
-4.862144E-04,1.41602E-01
-4.862048E-04,1.12305E-01
-4.861952E-04,1.12305E-01
-4.861856E-04,1.22070E-01
-4.861760E-04,1.22070E-01
-4.861664E-04,1.31836E-01
-4.861568E-04,1.02539E-01
-4.861472E-04,1.22070E-01
-4.861376E-04,1.31836E-01
-4.861280E-04,1.12305E-01
-4.861184E-04,1.12305E-01
-4.861088E-04,1.61133E-01
-4.860992E-04,1.22070E-01
-4.860896E-04,9.27734E-02
-4.860800E-04,1.41602E-01
-4.860704E-04,1.61133E-01
-4.860608E-04,1.12305E-01
-4.860512E-04,1.41602E-01
-4.860416E-04,1.41602E-01
-4.860320E-04,1.31836E-01
-4.860224E-04,1.12305E-01
-4.860128E-04,1.51367E-01
-4.860032E-04,1.41602E-01
-4.859936E-04,1.12305E-01
-4.859840E-04,1.41602E-01
-4.859744E-04,1.22070E-01
-4.859648E-04,1.12305E-01
-4.859552E-04,1.22070E-01
-4.859456E-04,1.61133E-01
-4.859360E-04,1.41602E-01
-4.859264E-04,1.22070E-01
-4.859168E-04,1.41602E-01
-4.859072E-04,1.51367E-01
-4.858976E-04,9.27734E-02
-4.858880E-04,1.61133E-01
-4.858784E-04,9.27734E-02
-4.858688E-04,1.41602E-01
-4.858592E-04,1.02539E-01
-4.858496E-04,1.31836E-01
-4.858400E-04,1.31836E-01
-4.858304E-04,1.31836E-01
-4.858208E-04,1.22070E-01
-4.858112E-04,1.31836E-01
-4.858016E-04,1.12305E-01
-4.857920E-04,1.22070E-01
-4.857824E-04,1.12305E-01
-4.857728E-04,1.31836E-01
-4.857632E-04,1.22070E-01
-4.857536E-04,1.22070E-01
-4.857440E-04,1.22070E-01
-4.857344E-04,1.12305E-01
-4.857248E-04,1.41602E-01
-4.857152E-04,1.41602E-01
-4.857056E-04,1.22070E-01
-4.856960E-04,1.12305E-01
-4.856864E-04,1.51367E-01
-4.856768E-04,1.12305E-01
-4.856672E-04,8.30078E-02
-4.856576E-04,1.22070E-01
-4.856480E-04,1.12305E-01
-4.856384E-04,1.31836E-01
-4.856288E-04,1.41602E-01
-4.856192E-04,1.41602E-01
-4.856096E-04,1.61133E-01
-4.856000E-04,1.41602E-01
-4.855904E-04,1.41602E-01
-4.855808E-04,1.22070E-01
-4.855712E-04,1.02539E-01
-4.855616E-04,1.12305E-01
-4.855520E-04,1.12305E-01
-4.855424E-04,1.31836E-01
-4.855328E-04,8.30078E-02
-4.855232E-04,1.02539E-01
-4.855136E-04,1.12305E-01
-4.855040E-04,1.41602E-01
-4.854944E-04,9.27734E-02
-4.854848E-04,1.31836E-01
-4.854752E-04,1.12305E-01
-4.854656E-04,1.12305E-01
-4.854560E-04,1.41602E-01
-4.854464E-04,9.27734E-02
-4.854368E-04,1.22070E-01
-4.854272E-04,1.31836E-01
-4.854176E-04,1.51367E-01
-4.854080E-04,1.12305E-01
-4.853984E-04,1.31836E-01
-4.853888E-04,1.02539E-01
-4.853792E-04,1.22070E-01
-4.853696E-04,1.02539E-01
-4.853600E-04,1.02539E-01
-4.853504E-04,1.31836E-01
-4.853408E-04,1.02539E-01
-4.853312E-04,1.41602E-01
-4.853216E-04,1.22070E-01
-4.853120E-04,1.41602E-01
-4.853024E-04,1.31836E-01
-4.852928E-04,1.12305E-01
-4.852832E-04,1.12305E-01
-4.852736E-04,1.51367E-01
-4.852640E-04,1.31836E-01
-4.852544E-04,1.12305E-01
-4.852448E-04,9.27734E-02
-4.852352E-04,1.41602E-01
-4.852256E-04,1.61133E-01
-4.852160E-04,1.22070E-01
-4.852064E-04,1.41602E-01
-4.851968E-04,1.22070E-01
-4.851872E-04,1.12305E-01
-4.851776E-04,1.61133E-01
-4.851680E-04,1.22070E-01
-4.851584E-04,1.22070E-01
-4.851488E-04,1.12305E-01
-4.851392E-04,1.51367E-01
-4.851296E-04,9.27734E-02
-4.851200E-04,1.12305E-01
-4.851104E-04,1.31836E-01
-4.851008E-04,9.27734E-02
-4.850912E-04,1.41602E-01
-4.850816E-04,1.22070E-01
-4.850720E-04,1.02539E-01
-4.850624E-04,9.27734E-02
-4.850528E-04,1.02539E-01
-4.850432E-04,1.31836E-01
-4.850336E-04,1.12305E-01
-4.850240E-04,1.12305E-01
-4.850144E-04,9.27734E-02
-4.850048E-04,1.22070E-01
-4.849952E-04,1.12305E-01
-4.849856E-04,1.31836E-01
-4.849760E-04,1.61133E-01
-4.849664E-04,1.12305E-01
-4.849568E-04,8.30078E-02
-4.849472E-04,1.12305E-01
-4.849376E-04,1.12305E-01
-4.849280E-04,1.31836E-01
-4.849184E-04,9.27734E-02
-4.849088E-04,1.22070E-01
-4.848992E-04,1.02539E-01
-4.848896E-04,1.12305E-01
-4.848800E-04,1.22070E-01
-4.848704E-04,1.12305E-01
-4.848608E-04,1.02539E-01
-4.848512E-04,1.02539E-01
-4.848416E-04,9.27734E-02
-4.848320E-04,1.41602E-01
-4.848224E-04,1.31836E-01
-4.848128E-04,1.02539E-01
-4.848032E-04,1.02539E-01
-4.847936E-04,9.27734E-02
-4.847840E-04,1.22070E-01
-4.847744E-04,7.32422E-02
-4.847648E-04,1.31836E-01
-4.847552E-04,1.12305E-01
-4.847456E-04,1.12305E-01
-4.847360E-04,9.27734E-02
-4.847264E-04,8.30078E-02
-4.847168E-04,1.22070E-01
-4.847072E-04,1.02539E-01
-4.846976E-04,9.27734E-02
-4.846880E-04,1.12305E-01
-4.846784E-04,8.30078E-02
-4.846688E-04,8.30078E-02
-4.846592E-04,8.30078E-02
-4.846496E-04,1.12305E-01
-4.846400E-04,1.41602E-01
-4.846304E-04,1.02539E-01
-4.846208E-04,7.32422E-02
-4.846112E-04,1.31836E-01
-4.846016E-04,1.22070E-01
-4.845920E-04,9.27734E-02
-4.845824E-04,9.27734E-02
-4.845728E-04,1.12305E-01
-4.845632E-04,8.30078E-02
-4.845536E-04,8.30078E-02
-4.845440E-04,9.27734E-02
-4.845344E-04,1.12305E-01
-4.845248E-04,1.12305E-01
-4.845152E-04,1.22070E-01
-4.845056E-04,1.02539E-01
-4.844960E-04,1.12305E-01
-4.844864E-04,1.22070E-01
-4.844768E-04,9.27734E-02
-4.844672E-04,1.02539E-01
-4.844576E-04,1.02539E-01
-4.844480E-04,1.12305E-01
-4.844384E-04,1.12305E-01
-4.844288E-04,1.22070E-01
-4.844192E-04,1.31836E-01
-4.844096E-04,1.12305E-01
-4.844000E-04,8.30078E-02
-4.843904E-04,8.30078E-02
-4.843808E-04,9.27734E-02
-4.843712E-04,1.12305E-01
-4.843616E-04,1.12305E-01
-4.843520E-04,1.12305E-01
-4.843424E-04,7.32422E-02
-4.843328E-04,8.30078E-02
-4.843232E-04,1.02539E-01
-4.843136E-04,9.27734E-02
-4.843040E-04,9.27734E-02
-4.842944E-04,9.27734E-02
-4.842848E-04,1.02539E-01
-4.842752E-04,8.30078E-02
-4.842656E-04,1.02539E-01
-4.842560E-04,6.34766E-02
-4.842464E-04,1.02539E-01
-4.842368E-04,9.27734E-02
-4.842272E-04,1.02539E-01
-4.842176E-04,9.27734E-02
-4.842080E-04,1.02539E-01
-4.841984E-04,8.30078E-02
-4.841888E-04,1.02539E-01
-4.841792E-04,7.32422E-02
-4.841696E-04,1.02539E-01
-4.841600E-04,1.22070E-01
-4.841504E-04,8.30078E-02
-4.841408E-04,8.30078E-02
-4.841312E-04,1.02539E-01
-4.841216E-04,9.27734E-02
-4.841120E-04,7.32422E-02
-4.841024E-04,8.30078E-02
-4.840928E-04,9.27734E-02
-4.840832E-04,7.32422E-02
-4.840736E-04,1.02539E-01
-4.840640E-04,7.32422E-02
-4.840544E-04,1.02539E-01
-4.840448E-04,5.37109E-02
-4.840352E-04,9.27734E-02
-4.840256E-04,7.32422E-02
-4.840160E-04,9.27734E-02
-4.840064E-04,8.30078E-02
-4.839968E-04,1.02539E-01
-4.839872E-04,7.32422E-02
-4.839776E-04,9.27734E-02
-4.839680E-04,8.30078E-02
-4.839584E-04,7.32422E-02
-4.839488E-04,1.02539E-01
-4.839392E-04,1.22070E-01
-4.839296E-04,9.27734E-02
-4.839200E-04,8.30078E-02
-4.839104E-04,1.22070E-01
-4.839008E-04,1.12305E-01
-4.838912E-04,1.12305E-01
-4.838816E-04,1.02539E-01
-4.838720E-04,7.32422E-02
-4.838624E-04,7.32422E-02
-4.838528E-04,1.12305E-01
-4.838432E-04,9.27734E-02
-4.838336E-04,1.22070E-01
-4.838240E-04,1.12305E-01
-4.838144E-04,1.02539E-01
-4.838048E-04,9.27734E-02
-4.837952E-04,6.34766E-02
-4.837856E-04,1.02539E-01
-4.837760E-04,1.22070E-01
-4.837664E-04,9.27734E-02
-4.837568E-04,8.30078E-02
-4.837472E-04,7.32422E-02
-4.837376E-04,9.27734E-02
-4.837280E-04,8.30078E-02
-4.837184E-04,9.27734E-02
-4.837088E-04,8.30078E-02
-4.836992E-04,1.12305E-01
-4.836896E-04,9.27734E-02
-4.836800E-04,8.30078E-02
-4.836704E-04,8.30078E-02
-4.836608E-04,7.32422E-02
-4.836512E-04,9.27734E-02
-4.836416E-04,9.27734E-02
-4.836320E-04,1.22070E-01
-4.836224E-04,8.30078E-02
-4.836128E-04,9.27734E-02
-4.836032E-04,9.27734E-02
