in s,C1 in V
-1.1440320E-03,-6.83594E-03
-1.1440136E-03,2.24609E-02
-1.1439952E-03,-6.83594E-03
-1.1439768E-03,2.92969E-03
-1.1439584E-03,-2.63672E-02
-1.1439400E-03,-6.83594E-03
-1.1439216E-03,3.22266E-02
-1.1439032E-03,-2.63672E-02
-1.1438848E-03,2.92969E-03
-1.1438664E-03,2.92969E-03
-1.1438480E-03,-2.63672E-02
-1.1438296E-03,2.24609E-02
-1.1438112E-03,2.24609E-02
-1.1437928E-03,3.22266E-02
-1.1437744E-03,-1.66016E-02
-1.1437560E-03,2.24609E-02
-1.1437376E-03,2.92969E-03
-1.1437192E-03,-1.66016E-02
-1.1437008E-03,4.19922E-02
-1.1436824E-03,2.24609E-02
-1.1436640E-03,-6.83594E-03
-1.1436456E-03,1.26953E-02
-1.1436272E-03,2.24609E-02
-1.1436088E-03,2.24609E-02
-1.1435904E-03,-6.83594E-03
-1.1435720E-03,2.92969E-03
-1.1435536E-03,3.22266E-02
-1.1435352E-03,2.92969E-03
-1.1435168E-03,-6.83594E-03
-1.1434984E-03,-6.83594E-03
-1.1434800E-03,-6.83594E-03
-1.1434616E-03,2.24609E-02
-1.1434432E-03,2.92969E-03
-1.1434248E-03,1.26953E-02
-1.1434064E-03,-6.83594E-03
-1.1433880E-03,2.92969E-03
-1.1433696E-03,-1.66016E-02
-1.1433512E-03,-6.83594E-03
-1.1433328E-03,-1.66016E-02
-1.1433144E-03,5.17578E-02
-1.1432960E-03,2.24609E-02
-1.1432776E-03,2.92969E-03
-1.1432592E-03,1.26953E-02
-1.1432408E-03,2.92969E-03
-1.1432224E-03,-1.66016E-02
-1.1432040E-03,-2.63672E-02
-1.1431856E-03,-1.66016E-02
-1.1431672E-03,2.24609E-02
-1.1431488E-03,2.92969E-03
-1.1431304E-03,2.24609E-02
-1.1431120E-03,2.24609E-02
-1.1430936E-03,2.92969E-03
-1.1430752E-03,2.24609E-02
-1.1430568E-03,2.92969E-03
-1.1430384E-03,-2.63672E-02
-1.1430200E-03,3.22266E-02
-1.1430016E-03,1.26953E-02
-1.1429832E-03,5.17578E-02
-1.1429648E-03,2.92969E-03
-1.1429464E-03,1.26953E-02
-1.1429280E-03,-1.66016E-02
-1.1429096E-03,1.26953E-02
-1.1428912E-03,3.22266E-02
-1.1428728E-03,2.24609E-02
-1.1428544E-03,1.26953E-02
-1.1428360E-03,2.24609E-02
-1.1428176E-03,-6.83594E-03
-1.1427992E-03,2.24609E-02
-1.1427808E-03,-1.66016E-02
-1.1427624E-03,-6.83594E-03
-1.1427440E-03,1.26953E-02
-1.1427256E-03,2.92969E-03
-1.1427072E-03,2.92969E-03
-1.1426888E-03,2.24609E-02
-1.1426704E-03,3.22266E-02
-1.1426520E-03,2.92969E-03
-1.1426336E-03,1.26953E-02
-1.1426152E-03,2.24609E-02
-1.1425968E-03,-1.66016E-02
-1.1425784E-03,-6.83594E-03
-1.1425600E-03,2.92969E-03
-1.1425416E-03,1.26953E-02
-1.1425232E-03,-6.83594E-03
-1.1425048E-03,2.92969E-03
-1.1424864E-03,2.24609E-02
-1.1424680E-03,3.22266E-02
-1.1424496E-03,1.26953E-02
-1.1424312E-03,3.22266E-02
-1.1424128E-03,1.26953E-02
-1.1423944E-03,2.92969E-03
-1.1423760E-03,3.22266E-02
-1.1423576E-03,2.24609E-02
-1.1423392E-03,-6.83594E-03
-1.1423208E-03,1.26953E-02
-1.1423024E-03,2.92969E-03
-1.1422840E-03,-2.63672E-02
-1.1422656E-03,2.24609E-02
-1.1422472E-03,2.92969E-03
-1.1422288E-03,3.22266E-02
-1.1422104E-03,-2.63672E-02
-1.1421920E-03,-2.63672E-02
-1.1421736E-03,2.92969E-03
